term_en,definition_en,term_translated,definition_translated
Gurdwaras,a building in which Sikhs worship,குருத்வாராக்கள்,சீக்கியர்கள் வழிபடும் கட்டிடம்
Temple,"a building used for religious worship, especially in religions other than Christianity",கோயில்,"மத வழிபாட்டிற்காகப் பயன்படுத்தப்படும் ஒரு கட்டிடம், குறிப்பாக கிறிஸ்துவத்தைத் தவிர வேறு மதங்களில்"
Regularly,at regular intervals or times,தவறாமல்,வழக்கமான இடைவெளிகள் அல்லது நேரங்களில்
Midday,12 o’clock in the middle of the day; the period around this time,மதிய நேரம்.,நள்ளிரவில் 12 மணி; இந்த நேரத்தைச் சுற்றியுள்ள காலம்
Unclean,dirty and therefore likely to cause disease,அசுத்தமானது.,அழுக்கு மற்றும் எனவே நோய் ஏற்படுத்தும் சாத்தியம்
Exercising,to do sports or other physical activities in order to stay healthy or become stronger; to make an animal do this,உடற்பயிற்சி,ஆரோக்கியமாக இருப்பதற்காகவோ அல்லது வலுவாக இருப்பதற்காகவோ விளையாட்டு அல்லது பிற உடல் செயல்பாடுகளைச் செய்வது; ஒரு விலங்கை இதைச் செய்ய வைப்பது
Grumpy,easily annoyed; in a bad mood,முட்டாள்தனம்.,எளிதில் எரிச்சலடைகிறது; மோசமான மனநிலையில்
Germs,a very small living thing that can cause infection and disease,கிருமிகள்,நோய்த்தொற்று மற்றும் நோயை ஏற்படுத்தக்கூடிய மிகச் சிறிய உயிரினம்
Trimmed,"to make something neater, smaller, better, etc., by cutting parts from it",வெட்டப்பட்டது.,"எதையாவது நிதானமாக, சிறியதாக, சிறந்ததாக மாற்ற, அதன் பாகங்களை வெட்டுவதன் மூலம்"
Foul,dirty and smelling bad,முட்டாள்தனம்.,அழுக்கு மற்றும் மோசமான வாசனை
Marbles,"a type of hard stone that is usually white and often has coloured lines in it. It can be polished (= made smooth and shiny by rubbing) and is used in building and for making statues, etc.",பளிங்குகள்,பொதுவாக வெள்ளை மற்றும் பெரும்பாலும் வண்ணக் கோடுகளைக் கொண்ட ஒரு வகை கடினமான கல். இது மெருகூட்டப்படலாம் (= தேய்த்தல் மூலம் மென்மையாகவும் பளபளப்பாகவும் செய்யப்படுகிறது) மற்றும் கட்டிடத்திலும் சிலைகள் தயாரிப்பதிலும் பயன்படுத்தப்படுகிறது.
Coins,a small flat piece of metal used as money,நாணயங்கள்,பணமாகப் பயன்படுத்தப்படும் ஒரு சிறிய தட்டையான உலோகத் துண்டு
Stranger,a person that you do not know,அந்நியன்.,உங்களுக்குத் தெரியாத ஒரு நபர்
Traffic,the vehicles that are on a road at a particular time,போக்குவரத்து நெரிசல்,ஒரு குறிப்பிட்ட நேரத்தில் சாலையில் இருக்கும் வாகனங்கள்
Signal,"a movement or sound that you make to give somebody information, instructions, a warning, etc. 2",சமிக்ஞை,"யாருக்காவது தகவல், அறிவுறுத்தல்கள், எச்சரிக்கை போன்றவற்றை வழங்க நீங்கள் செய்யும் ஒரு இயக்கம் அல்லது ஒலி."
